"icd9pro","d9carotid","d9cArtery","d9pArtery","d9BariatricSurg","d9Renal","d9Transplant","d9Dialysis","d9Kidney_Transplant"
"0981",0,0,0,0,0,0,0,0
"0982",0,0,0,0,0,0,0,0
"0983",0,0,0,0,0,0,0,0
"0987",0,0,0,0,0,0,0,0
"09904",0,0,0,0,0,0,0,0
"0991",0,0,0,0,0,0,0,0
"1",0,0,0,0,0,0,0,0
"1.33",0,0,0,0,0,0,0,0
"1.39",0,0,0,0,0,0,0,0
"1.63",0,0,0,0,0,0,0,0
"100",0,0,0,0,0,0,0,0
"1002",0,0,0,0,0,0,0,0
"1006",0,0,0,0,0,0,0,0
"10060",0,0,0,0,0,0,0,0
"10061",0,0,0,0,0,0,0,0
"101",0,0,0,0,0,0,0,0
"1012",0,0,0,0,0,0,0,0
"10120",0,0,0,0,0,0,0,0
"1014",0,0,0,0,0,0,0,0
"10140",0,0,0,0,0,0,0,0
"10180",0,0,0,0,0,0,0,0
"1021",0,0,0,0,0,0,0,0
"1029",0,0,0,0,0,0,0,0
"1031",0,0,0,0,0,0,0,0
"1032",0,0,0,0,0,0,0,0
"1033",0,0,0,0,0,0,0,0
"1042",0,0,0,0,0,0,0,0
"1043",0,0,0,0,0,0,0,0
"1044",0,0,0,0,0,0,0,0
"1049",0,0,0,0,0,0,0,0
"105",0,0,0,0,0,0,0,0
"106",0,0,0,0,0,0,0,0
"1091",0,0,0,0,0,0,0,0
"110",0,0,0,0,0,0,0,0
"1100",0,0,0,0,0,0,0,0
"11000",0,0,0,0,0,0,0,0
"11012",0,0,0,0,0,0,0,0
"1104",0,0,0,0,0,0,0,0
"11040",0,0,0,0,0,0,0,0
"11042",0,0,0,0,0,0,0,0
"11044",0,0,0,0,0,0,0,0
"111",0,0,0,0,0,0,0,0
"1110",0,0,0,0,0,0,0,0
"11100",0,0,0,0,0,0,0,0
"1120",0,0,0,0,0,0,0,0
"1121",0,0,0,0,0,0,0,0
"1122",0,0,0,0,0,0,0,0
"1130",0,0,0,0,0,0,0,0
"1131",0,0,0,0,0,0,0,0
"1132",0,0,0,0,0,0,0,0
"1139",0,0,0,0,0,0,0,0
"114",0,0,0,0,0,0,0,0
"1140",0,0,0,0,0,0,0,0
"1141",0,0,0,0,0,0,0,0
"1142",0,0,0,0,0,0,0,0
"1143",0,0,0,0,0,0,0,0
"1144",0,0,0,0,0,0,0,0
"1149",0,0,0,0,0,0,0,0
"1151",0,0,0,0,0,0,0,0
"1152",0,0,0,0,0,0,0,0
"1153",0,0,0,0,0,0,0,0
"1159",0,0,0,0,0,0,0,0
"1160",0,0,0,0,0,0,0,0
"1162",0,0,0,0,0,0,0,0
"1163",0,0,0,0,0,0,0,0
"1164",0,0,0,0,0,0,0,0
"1169",0,0,0,0,0,0,0,0
"1170",0,0,0,0,0,0,0,0
"1171",0,0,0,0,0,0,0,0
"1172",0,0,0,0,0,0,0,0
"11721",0,0,0,0,0,0,0,0
"1173",0,0,0,0,0,0,0,0
"1175",0,0,0,0,0,0,0,0
"11750",0,0,0,0,0,0,0,0
"1176",0,0,0,0,0,0,0,0
"1179",0,0,0,0,0,0,0,0
"1192",0,0,0,0,0,0,0,0
"1199",0,0,0,0,0,0,0,0
"120",0,0,0,0,0,0,0,0
"1200",0,0,0,0,0,0,0,0
"12001",0,0,0,0,0,0,0,0
"12002",0,0,0,0,0,0,0,0
"1201",0,0,0,0,0,0,0,0
"12011",0,0,0,0,0,0,0,0
"1202",0,0,0,0,0,0,0,0
"1203",0,0,0,0,0,0,0,0
"1204",0,0,0,0,0,0,0,0
"1205",0,0,0,0,0,0,0,0
"121",0,0,0,0,0,0,0,0
"1212",0,0,0,0,0,0,0,0
"1213",0,0,0,0,0,0,0,0
"1214",0,0,0,0,0,0,0,0
"122",0,0,0,0,0,0,0,0
"1221",0,0,0,0,0,0,0,0
"1229",0,0,0,0,0,0,0,0
